Category,Endpoint,Full URL,Method,Usable,Auth Required,Parameters,Purpose / Notes
Accounts,registerGJAccount.php,https://www.boomlings.com/database/accounts/registerGJAccount.php,POST,Yes,No,"userName, password, email, secret=Wmfd2893gb7","Creates a new GD account. Returns 1 on success, negative codes on failure (-2 username taken, -3 email taken, etc.)"
Accounts,loginGJAccount.php,https://www.boomlings.com/database/accounts/loginGJAccount.php,POST,Yes,No,"userName, gjp2 (hashed password), udid, secret=Wmfd2893gb7","Logs in to an existing account. Returns accountID:playerID on success. GJP2 = SHA1(password + mI29fmAnxgTs)"
Accounts,backupGJAccountNew.php,https://www.robtopgames.org/database/accounts/backupGJAccountNew.php,POST,Yes,Yes,"accountID, gjp2, saveData (zipped+b64), secret","Backs up game save data to the server. Requires authentication."
Accounts,syncGJAccountNew.php,https://www.robtopgames.org/database/accounts/syncGJAccountNew.php,POST,Yes,Yes,"accountID, gjp2, secret","Downloads/syncs the save data from the server to the client."
Accounts,updateGJAccSettings20.php,https://www.boomlings.com/database/updateGJAccSettings20.php,POST,Yes,Yes,"accountID, gjp2, mS (msg perm), frS (friend req perm), cS (comment perm), yt, twitter, twitch, secret","Updates account privacy settings and linked social media handles."
Comments,getGJAccountComments20.php,https://www.boomlings.com/database/getGJAccountComments20.php,POST,Yes,No,"accountID, page, secret","Fetches profile/account-level comments for a given accountID. Paginated."
Comments,getGJComments21.php,https://www.boomlings.com/database/getGJComments21.php,POST,Yes,No,"levelID, page, secret","Fetches in-game comments on a specific level. Paginated."
Comments,getGJCommentHistory.php,https://www.boomlings.com/database/getGJCommentHistory.php,POST,Yes,No,"userID, page, mode (0=most recent, 1=most liked), secret","Gets a user's full comment history across all levels."
Comments,uploadGJAccComment20.php,https://www.boomlings.com/database/uploadGJAccComment20.php,POST,Yes,Yes,"accountID, gjp2, comment (b64 encoded), chk, secret","Posts a comment on your own profile page. Comment must be base64-encoded."
Comments,uploadGJComment21.php,https://www.boomlings.com/database/uploadGJComment21.php,POST,Yes,Yes,"accountID, gjp2, levelID, comment (b64), percent, chk, secret","Posts a comment on a specific level. Percent is your completion % shown in the comment."
Comments,deleteGJAccComment20.php,https://www.boomlings.com/database/deleteGJAccComment20.php,POST,Yes,Yes,"accountID, gjp2, commentID, secret","Deletes one of your own profile comments by commentID."
Comments,deleteGJComment20.php,https://www.boomlings.com/database/deleteGJComment20.php,POST,Yes,Yes,"accountID, gjp2, commentID, levelID, secret","Deletes one of your own in-level comments."
Levels,getGJLevels21.php,https://www.boomlings.com/database/getGJLevels21.php,POST,Yes,No,"type (search mode), str (query), page, secret + optional filters","Main level search endpoint. Supports search by name, featured, trending, hall of fame, etc. Returns pipe/colon-delimited level objects."
Levels,downloadGJLevel22.php,https://www.boomlings.com/database/downloadGJLevel22.php,POST,Yes,No,"levelID, secret","Downloads full level data (level string, metadata) for a specific level ID."
Levels,uploadGJLevel21.php,https://www.boomlings.com/database/uploadGJLevel21.php,POST,Yes,Yes,"accountID, gjp2, levelName, levelString, audioTrack, gameVersion, etc., secret","Uploads or updates a level to the GD servers. Returns the level ID."
Levels,deleteGJLevelUser20.php,https://www.boomlings.com/database/deleteGJLevelUser20.php,POST,Yes,Yes,"accountID, gjp2, levelID, secret","Deletes one of your own uploaded levels by levelID."
Levels,getGJDailyLevel.php,https://www.boomlings.com/database/getGJDailyLevel.php,POST,Yes,No,"type (0=daily, 1=weekly), secret","Returns the current daily or weekly level ID and the timestamp until it changes."
Levels,getGJMapPacks21.php,https://www.boomlings.com/database/getGJMapPacks21.php,POST,Yes,No,"page, secret","Returns all map packs with their level IDs and star/coin rewards."
Levels,getGJGauntlets21.php,https://www.boomlings.com/database/getGJGauntlets21.php,POST,Yes,No,"secret","Returns all gauntlets and their 5 level IDs."
Levels,updateGJDesc20.php,https://www.boomlings.com/database/updateGJDesc20.php,POST,Yes,Yes,"accountID, gjp2, levelID, levelDesc (b64), secret","Updates the description of one of your levels without re-uploading the full level."
Levels,getGJLevelScores211.php,https://www.boomlings.com/database/getGJLevelScores211.php,POST,Yes,No,"levelID, type, accountID (optional), secret","Fetches the leaderboard scores for a specific level (top players, friends, etc.)."
Levels,getGJLevelScoresPlat.php,https://www.boomlings.com/database/getGJLevelScoresPlat.php,POST,Yes,No,"levelID, type, accountID, secret","Platformer-specific level leaderboard (separate from classic levels)."
Levels,reportGJLevel.php,https://www.boomlings.com/database/reportGJLevel.php,POST,Yes,No,"levelID, secret","Reports a level to RobTop for review/removal."
Levels,rateGJStars211.php,https://www.boomlings.com/database/rateGJStars211.php,POST,Yes,Yes,"accountID, gjp2, levelID, stars, chk, udid, uuid, rs, secret","Submits a star rating suggestion for a level (used by moderators and players)."
Levels,rateGJDemon21.php,https://www.boomlings.com/database/rateGJDemon21.php,POST,Yes,Yes,"accountID, gjp2, levelID, rating (1-5 demon tier), secret","Submits a demon difficulty rating vote for a demon-rated level."
Levels,suggestGJStars20.php,https://www.boomlings.com/database/suggestGJStars20.php,POST,Yes,Yes,"accountID, gjp2, levelID, stars, feature, secret","Moderator endpoint to suggest stars/feature status for a level."
Lists,getGJLevelLists.php,https://www.boomlings.com/database/getGJLevelLists.php,POST,Yes,No,"type, str, page, secret","Searches and retrieves user-created level lists (GD 2.2 feature)."
Lists,uploadGJLevelList.php,https://www.boomlings.com/database/uploadGJLevelList.php,POST,Yes,Yes,"accountID, gjp2, listName, listDesc, listLevels, difficulty, secret","Creates or updates a level list on the servers."
Lists,deleteGJLevelList.php,https://www.boomlings.com/database/deleteGJLevelList.php,POST,Yes,Yes,"accountID, gjp2, listID, secret","Deletes one of your own level lists."
Users,getGJUsers20.php,https://www.boomlings.com/database/getGJUsers20.php,POST,Yes,No,"str (username query), secret","Searches for users by username. Returns basic user info and playerID."
Users,getGJUserInfo20.php,https://www.boomlings.com/database/getGJUserInfo20.php,POST,Yes,No,"targetAccountID, secret","Returns detailed profile info for a user: stars, demons, rank, icons, social links, etc."
Users,getGJScores20.php,https://www.boomlings.com/database/getGJScores20.php,POST,Yes,No,"type (top/friends/relative/creators), accountID (for friends), secret","Returns the global or friends leaderboard."
Users,updateGJUserScore22.php,https://www.boomlings.com/database/updateGJUserScore22.php,POST,Yes,Yes,"accountID, gjp2, stars, moons, demons, diamonds, coins, userCoins, icon data fields, secret","Updates your stats on the server (stars, coins, icon appearance, etc.). Called by the game client after each session."
Socials,getGJMessages20.php,https://www.boomlings.com/database/getGJMessages20.php,POST,Yes,Yes,"accountID, gjp2, getSent (0/1), page, secret","Fetches your inbox or sent messages."
Socials,downloadGJMessage20.php,https://www.boomlings.com/database/downloadGJMessage20.php,POST,Yes,Yes,"accountID, gjp2, messageID, isSender, secret","Downloads the full body of a specific message."
Socials,uploadGJMessage20.php,https://www.boomlings.com/database/uploadGJMessage20.php,POST,Yes,Yes,"accountID, gjp2, toAccountID, subject (b64), body (b64), secret","Sends a private message to another account."
Socials,deleteGJMessages20.php,https://www.boomlings.com/database/deleteGJMessages20.php,POST,Yes,Yes,"accountID, gjp2, messages (comma list of IDs), isSender, secret","Deletes one or more messages from your inbox or sent box."
Socials,getGJFriendRequests20.php,https://www.boomlings.com/database/getGJFriendRequests20.php,POST,Yes,Yes,"accountID, gjp2, getSent (0/1), page, secret","Fetches incoming or outgoing friend requests."
Socials,uploadFriendRequest20.php,https://www.boomlings.com/database/uploadFriendRequest20.php,POST,Yes,Yes,"accountID, gjp2, toAccountID, comment (b64), secret","Sends a friend request to another user."
Socials,acceptGJFriendRequest20.php,https://www.boomlings.com/database/acceptGJFriendRequest20.php,POST,Yes,Yes,"accountID, gjp2, targetAccountID, requestID, secret","Accepts a pending incoming friend request."
Socials,deleteGJFriendRequests20.php,https://www.boomlings.com/database/deleteGJFriendRequests20.php,POST,Yes,Yes,"accountID, gjp2, targetAccountID, isSender, secret","Deletes/declines a friend request."
Socials,readGJFriendRequest20.php,https://www.boomlings.com/database/readGJFriendRequest20.php,POST,Yes,Yes,"accountID, gjp2, requestID, secret","Marks a friend request as read."
